region,year,election,candidate,constituency,criminal_cases,education,assets,liabilities
Delhi,2015,delhi2015,Pawan Kumar Sharma,ADARSH NAGAR,1,12th Pass,10996895,256710
Delhi,2015,delhi2015,Ajay Dutt,AMBEDKAR NAGAR,0,Post Graduate,23427501,2972000
Delhi,2015,delhi2015,Narayan Dutt Sharma,BADARPUR,0,12th Pass,6178144,50000
Delhi,2015,delhi2015,Ajesh Yadav,BADLI,0,Graduate,145047653,15404944
Delhi,2015,delhi2015,Imran Hussain,BALLIMARAN,1,Graduate,7397824,750000
Delhi,2015,delhi2015,Ved Parkash,BAWANA,1,Graduate,11782955,554074
Delhi,2015,delhi2015,Col Devinder Sehrawat,BIJWASAN,2,Post Graduate,22936566,480000
Delhi,2015,delhi2015,Sanjeev Jha,BURARI,0,Graduate,827915,0
Delhi,2015,delhi2015,Alka Lamba,CHANDNI CHOWK,0,Post Graduate,14012477,0
Delhi,2015,delhi2015,Kartar Singh Tanwar,CHHATARPUR,1,12th Pass,176512596,92433052
Delhi,2015,delhi2015,Surender Singh,DELHI CANTT,0,Graduate,7629527,0
Delhi,2015,delhi2015,Prakash Jarwal,DEOLI,1,Post Graduate,46740,16436
Delhi,2015,delhi2015,Adarsh Shastri,DWARKA,0,Post Graduate,22138623,5107118
Delhi,2015,delhi2015,Anil Kumar Bajpai,GANDHI NAGAR,0,Graduate,784501,0
Delhi,2015,delhi2015,Shri Dutt Sharma,GHONDA,0,12th Pass,140108017,10440607
Delhi,2015,delhi2015,Fateh Singh,GOKALPUR,0,Graduate,72646007,200000
Delhi,2015,delhi2015,Saurabh Bharadwaj,GREATER KAILASH,1,Graduate Professional,10229151,0
Delhi,2015,delhi2015,Jagdeep Singh,HARI NAGAR,3,12th Pass,18589244,531170
Delhi,2015,delhi2015,Rajesh Rishi,JANAKPURI,4,Graduate,1423939,0
Delhi,2015,delhi2015,Praveen Kumar,JANGPURA,0,Post Graduate,807000,0
Delhi,2015,delhi2015,Avtar Singh,KALKAJI,0,8th Pass,577958,0
Delhi,2015,delhi2015,Kapil Mishra,KARAWAL NAGAR,0,Post Graduate,4600637,1999864
Delhi,2015,delhi2015,Vishesh Ravi,KAROL BAGH,0,12th Pass,717000,35000
Delhi,2015,delhi2015,Madan Lal,KASTURBA NAGAR,0,Post Graduate,26829444,1924841
Delhi,2015,delhi2015,Rituraj Govind,KIRARI,0,Others,37933,0
Delhi,2015,delhi2015,Manoj Kumar,KONDLI,0,10th Pass,946186,79082
Delhi,2015,delhi2015,S K Bagga,KRISHNA NAGAR,0,Post Graduate,74141683,5303529
Delhi,2015,delhi2015,Girish Soni,MADIPUR,0,10th Pass,12688397,1269467
Delhi,2015,delhi2015,Somnath Bharti,MALVIYA NAGAR,1,Post Graduate,13981720,2096655
Delhi,2015,delhi2015,Rakhi Birla,MANGOL PURI,2,Post Graduate,18000,290000
Delhi,2015,delhi2015,Asim Ahmed Khan,MATIA MAHAL,0,Graduate,65349988,1633760
Delhi,2015,delhi2015,Gulab Singh,MATIALA,10,12th Pass,57030400,2053382
Delhi,2015,delhi2015,Akhilesh Pati Tripathi,MODEL TOWN,1,Post Graduate,188118,0
Delhi,2015,delhi2015,Shiv Charan Goel,MOTI NAGAR,0,12th Pass,181462602,41300000
Delhi,2015,delhi2015,Sukhvir Singh,MUNDKA,0,Post Graduate,181096152,827809
Delhi,2015,delhi2015,Mohd Yunus,MUSTAFABAD,1,Graduate,30674900,2161200
Delhi,2015,delhi2015,Kailash Gahlot,NAJAFGARH,0,Post Graduate,374541806,85525139
Delhi,2015,delhi2015,Raghuvinder Shokeen,NANGLOI JAT,0,Graduate,62297490,2282122
Delhi,2015,delhi2015,Sharad Kumar,NERELA,0,10th Pass,25925419,0
Delhi,2015,delhi2015,Arvind Kejriwal,NEW DELHI,10,Graduate Professional,20985366,4100000
Delhi,2015,delhi2015,Amanatullah Khan,OKHLA,1,12th Pass,20073316,0
Delhi,2015,delhi2015,Bhavna Gaur,PALAM,0,Graduate Professional,269570,0
Delhi,2015,delhi2015,Hazari Lal Chauhan,PATEL NAGAR,0,8th Pass,26112537,33000
Delhi,2015,delhi2015,Manish Sisodia,PATPARGANJ,6,Others,4166133,0
Delhi,2015,delhi2015,Parmila Tokas,R K PURAM,0,12th Pass,879098874,121596944
Delhi,2015,delhi2015,Vijender Garg Vijay,RAJINDER NAGAR,0,Graduate,23604194,0
Delhi,2015,delhi2015,Jarnail Singh,RAJOURI GARDEN,3,Post Graduate,11974780,155000
Delhi,2015,delhi2015,Mohinder Goyal,RITHALA,0,10th Pass,29958454,563044
Delhi,2015,delhi2015,C.l. Gupta,ROHINI,0,Graduate Professional,54508979,0
Delhi,2015,delhi2015,Sarita Singh,ROHTAS NAGAR,0,Post Graduate,118280,0
Delhi,2015,delhi2015,Som Dutt,SADAR BAZAR,0,Graduate,1079433,0
Delhi,2015,delhi2015,Dinesh Mohaniya,SANGAM VIHAR,2,12th Pass,2260631,0
Delhi,2015,delhi2015,Mohd. Ishraque,SEELAMPUR,0,5th Pass,27300738,0
Delhi,2015,delhi2015,Ram Niwas Goel,SHAHDARA,2,Graduate,43968000,3481000
Delhi,2015,delhi2015,Satyendar Kumar Jain,SHAKUR BASTI,0,Graduate Professional,80841007,11705000
Delhi,2015,delhi2015,Bandana Kumari,SHALIMAR BAGH,1,Graduate,88771227,445709
Delhi,2015,delhi2015,Sandeep Kumar,SULTANPUR MAJRA,0,Graduate Professional,1316629,0
Delhi,2015,delhi2015,Jarnail Singh,TILAK NAGAR,2,12th Pass,18889333,500452
Delhi,2015,delhi2015,Pankaj Pushkar,TIMARPUR,0,Post Graduate,14880949,571442
Delhi,2015,delhi2015,Jitender Singh Tomar,TRI NAGAR,0,Graduate Professional,10724369,746950
Delhi,2015,delhi2015,Raju Dhingan,TRILOKPURI,0,8th Pass,1010862,23605
Delhi,2015,delhi2015,Sahi Ram,TUGHLAKABAD,3,10th Pass,9406703,0
Delhi,2015,delhi2015,Naresh Balyan,UTTAM NAGAR,0,8th Pass,581182557,1806000
Delhi,2015,delhi2015,Mahinder Yadav,VIKASPURI,0,10th Pass,21532814,0
Delhi,2015,delhi2015,Atul Gupta,VISHWAS NAGAR,0,Post Graduate,31536152,500000
Delhi,2020,delhi2020,Pawan Sharma,ADARSH NAGAR,2,12th Pass,14664286,926502
Delhi,2020,delhi2020,Ajay Dutt,AMBEDKAR NAGAR,1,Post Graduate,28366215,0
Delhi,2020,delhi2020,Gopal Rai,BABARPUR,1,Post Graduate,9001006,0
Delhi,2020,delhi2020,Ram Singh Netaji,BADARPUR,0,5th Pass,800525988,59777000
Delhi,2020,delhi2020,Ajesh Yadav,BADLI,0,Graduate,158186585,15897629
Delhi,2020,delhi2020,Imran Hussain,BALLIMARAN,0,Graduate Professional,14137344,2846840
Delhi,2020,delhi2020,Jai Bhagwan,BAWANA,2,12th Pass,19821562,160000
Delhi,2020,delhi2020,Bhupinder Singh Joon,BIJWASAN,0,Graduate Professional,51820871,1497738
Delhi,2020,delhi2020,Sanjeev Jha,BURARI,3,Graduate,1037347,0
Delhi,2020,delhi2020,Parlad Singh Sawhney,CHANDNI CHOWK,0,12th Pass,418565734,50677492
Delhi,2020,delhi2020,Kartar Singh Tanwar,CHHATARPUR,0,Others,238475327,124751851
Delhi,2020,delhi2020,Virender Singh Kadian,DELHI CANTT,0,Post Graduate,21060842,3904342
Delhi,2020,delhi2020,Prakash,DEOLI,3,Post Graduate,2564729,10271
Delhi,2020,delhi2020,Vinay Mishra,DWARKA,0,Post Graduate,78539391,7864769
Delhi,2020,delhi2020,Naveen Chaudhary,GANDHI NAGAR,2,12th Pass,251315599,3955798
Delhi,2020,delhi2020,Surendra Kumar,GOKALPUR,4,10th Pass,93575001,37128247
Delhi,2020,delhi2020,Raj Kumari Dhillon,HARI NAGAR,0,Graduate,480847690,195029599
Delhi,2020,delhi2020,Rajesh Rishi,JANAKPURI,2,Graduate,10415486,98000
Delhi,2020,delhi2020,Atishi Marlena,KALKAJI,1,Post Graduate,14121663,0
Delhi,2020,delhi2020,Durgesh Pathak,KARAWAL NAGAR,1,Post Graduate,118678,0
Delhi,2020,delhi2020,Vishesh Ravi,KAROL BAGH,0,10th Pass,1914540,0
Delhi,2020,delhi2020,Rituraj Govind,KIRARI,2,Others,1487905,0
Delhi,2020,delhi2020,Kuldeep Kumar,KONDLI,0,12th Pass,2682081,0
Delhi,2020,delhi2020,S. K. Bagga (Advocate),KRISHNA NAGAR,1,Post Graduate,82876238,6186719
Delhi,2020,delhi2020,Nitin Tyagi,LAXMI NAGAR,2,Graduate,18904165,0
Delhi,2020,delhi2020,Girish Soni,MADIPUR,0,Others,10588179,250350
Delhi,2020,delhi2020,Somnath Bharti,MALVIYA NAGAR,6,Post Graduate,14233121,2091998
Delhi,2020,delhi2020,Rakhi Birla,MANGOL PURI,1,Post Graduate,76421,0
Delhi,2020,delhi2020,Shoaib Iqbal,MATIA MAHAL,6,12th Pass,13895551,2170794
Delhi,2020,delhi2020,Gulab Singh,MATIALA,11,12th Pass,54308332,513065
Delhi,2020,delhi2020,Naresh Yadav,MEHRAULI,2,Graduate Professional,268143370,10242054
Delhi,2020,delhi2020,Akhilesh Pati Tripathi,MODEL TOWN,4,Post Graduate,1539814,2738386
Delhi,2020,delhi2020,Shiv Charan Goel,MOTI NAGAR,0,12th Pass,244301575,0
Delhi,2020,delhi2020,Dharampal Lakra,MUNDKA,1,Others,2921179176,60436578
Delhi,2020,delhi2020,Haji Yunus,MUSTAFABAD,1,Graduate,35782605,401280
Delhi,2020,delhi2020,Kailash Gahlot,NAJAFGARH,0,Post Graduate,460752912,66382491
Delhi,2020,delhi2020,Raghuvinder Shokeen,NANGLOI JAT,1,Graduate,120500110,35320499
Delhi,2020,delhi2020,Sharad Kumar,NARELA,1,10th Pass,32048039,2318655
Delhi,2020,delhi2020,Amanatullah Khan,OKHLA,12,12th Pass,39382762,0
Delhi,2020,delhi2020,Bhavna Gaur,PALAM,0,Graduate Professional,1427686,862526
Delhi,2020,delhi2020,Raaj Kumar Anand,PATEL NAGAR,1,Post Graduate,789065803,324635220
Delhi,2020,delhi2020,Manish Sisodia,PATPARGANJ,3,Others,9350305,0
Delhi,2020,delhi2020,Pramila Tokas,R K PURAM,2,12th Pass,808875775,117503156
Delhi,2020,delhi2020,Raghav Chadha,RAJINDER NAGAR,0,Graduate,1997979,0
Delhi,2020,delhi2020,Mohinder Goyal,RITHALA,1,10th Pass,43890953,211463
Delhi,2020,delhi2020,Sarita Singh,ROHTAS NAGAR,0,Post Graduate,698141,0
Delhi,2020,delhi2020,Som Dutt,SADAR BAZAR,1,Graduate,1196762,0
Delhi,2020,delhi2020,Dinesh Mohaniya,SANGAM VIHAR,2,Graduate Professional,3528046,0
Delhi,2020,delhi2020,Abdul Rehman,SEELAMPUR,2,8th Pass,6817899,0
Delhi,2020,delhi2020,Rajendra Pal Gautam,SEEMA PURI,0,Graduate Professional,18816707,7394020
Delhi,2020,delhi2020,Ram Niwas Goel,SHAHDARA,1,Graduate,49617000,804000
Delhi,2020,delhi2020,Bandana Kumari,SHALIMAR BAGH,0,Graduate,92231723,1483767
Delhi,2020,delhi2020,Mukesh Kumar Ahlawat,SULTANPUR MAJRA,0,12th Pass,61859236,656107
Delhi,2020,delhi2020,Jarnail Singh,TILAK NAGAR,2,12th Pass,28733096,4623452
Delhi,2020,delhi2020,Dilip Pandey,TIMARPUR,2,Post Graduate,7711538,0
Delhi,2020,delhi2020,Preeti Tomar,TRI NAGAR,0,Post Graduate,19311707,191760
Delhi,2020,delhi2020,Rohit Kumar,TRILOKPURI,0,12th Pass,9389865,0
Delhi,2020,delhi2020,Sahiram,TUGHLAKABAD,2,10th Pass,13609008,0
Delhi,2020,delhi2020,Naresh Balyan,UTTAM NAGAR,0,8th Pass,564004694,1944000
Delhi,2020,delhi2020,Mahinder Yadav,VIKASPURI,0,10th Pass,23859496,691809
Delhi,2020,delhi2020,Rajesh Gupta,WAZIRPUR,1,12th Pass,26417093,1707269
Delhi,2025,delhi2025,Mukesh Kumar Goel,ADARSH NAGAR,0,Graduate,102764691,750000
Delhi,2025,delhi2025,Dr. Ajay Dutt,AMBEDKAR NAGAR,0,Doctorate,119294435,2659574
Delhi,2025,delhi2025,Gopal Rai,BABARPUR,1,Post Graduate,14199753,0
Delhi,2025,delhi2025,Ram Singh Netaji,BADARPUR,0,5th Pass,896703141,36023060
Delhi,2025,delhi2025,Ajesh Yadav,BADLI,0,Graduate,98929035,33648882
Delhi,2025,delhi2025,Imran Hussain,BALLIMARAN,0,Graduate Professional,35646554,4196768
Delhi,2025,delhi2025,Jai Bhagwan Upkar,BAWANA,4,12th Pass,68737506,569881
Delhi,2025,delhi2025,Sanjeev Jha,BURARI,2,Graduate,1447331,0
Delhi,2025,delhi2025,Punardeep Singh Sawney (Sabby),CHANDNI CHOWK,1,12th Pass,212150426,5502661
Delhi,2025,delhi2025,Brahm Singh Tanwar,CHHATARPUR,1,8th Pass,242985718,10876717
Delhi,2025,delhi2025,Virender Singh Kadian,DELHI CANTT,2,Post Graduate,60044332,1853332
Delhi,2025,delhi2025,Vinay Mishra,DWARKA,6,Post Graduate,87017731,8687545
Delhi,2025,delhi2025,Naveen Chaudhary (Deepu),GANDHI NAGAR,4,12th Pass,257393912,4170526
Delhi,2025,delhi2025,Surendra Kumar,GOKALPUR,1,Others,45520497,32463276
Delhi,2025,delhi2025,Saurabh Bharadwaj,GREATER KAILASH,6,Graduate Professional,14809968,463803
Delhi,2025,delhi2025,Surinder Kumar Setia,HARI NAGAR,0,10th Pass,505926226,101742835
Delhi,2025,delhi2025,Parveen Kumar,JANAKPURI,2,Graduate Professional,2358628,0
Delhi,2025,delhi2025,Atishi,KALKAJI,4,Post Graduate,7693374,0
Delhi,2025,delhi2025,Manoj Kumar Tyagi,KARAWAL NAGAR,1,Graduate,27402865,407000
Delhi,2025,delhi2025,Vishesh Ravi,KAROL BAGH,1,12th Pass,4147048,641196
Delhi,2025,delhi2025,Ramesh Pahelwan,KASTURBA NAGAR,0,12th Pass,59997020,0
Delhi,2025,delhi2025,Anil Jha,KIRARI,3,Post Graduate,43302165,0
Delhi,2025,delhi2025,Kuldeep Kumar,KONDLI,7,12th Pass,5300281,635300
Delhi,2025,delhi2025,Vikas Bagga Ca,KRISHNA NAGAR,0,Post Graduate,35367049,10221219
Delhi,2025,delhi2025,B B Tyagi,LAXMI NAGAR,2,Graduate Professional,73324194,0
Delhi,2025,delhi2025,Rakhi Birla,MADIPUR,1,Post Graduate,3852358,1713371
Delhi,2025,delhi2025,Somnath Bharti,MALVIYA NAGAR,7,Post Graduate,22367040,1339565
Delhi,2025,delhi2025,Dharam Rakshak Alias Rakesh Jatav,MANGOL PURI,0,8th Pass,18280055,984260
Delhi,2025,delhi2025,Aaley Mohammed Iqbal,MATIA MAHAL,1,12th Pass,11794437,0
Delhi,2025,delhi2025,Sumesh Shokeen,MATIALA,1,12th Pass,651417698,156658623
Delhi,2025,delhi2025,Mahender Chaudhary,MEHRAULI,0,Graduate Professional,12587137,0
Delhi,2025,delhi2025,Akhilesh Pati Tripathi,MODEL TOWN,10,Post Graduate,6724979,400926
Delhi,2025,delhi2025,Shivcharan Goel,MOTI NAGAR,0,12th Pass,241986928,0
Delhi,2025,delhi2025,Jasbir Karala,MUNDKA,0,12th Pass,43156239,0
Delhi,2025,delhi2025,Adeel Ahmad Khan,MUSTAFABAD,0,Graduate,4938831,0
Delhi,2025,delhi2025,Tarun Kumar,NAJAFGARH,1,10th Pass,26546659,10382928
Delhi,2025,delhi2025,Raghuvinder Shokeen,NANGLOI JAT,0,Graduate Professional,233030525,54284057
Delhi,2025,delhi2025,Sharad Kumar,NERELA,1,10th Pass,67878442,4586897
Delhi,2025,delhi2025,Arvind Kejriwal,NEW DELHI,15,Graduate Professional,42436504,0
Delhi,2025,delhi2025,Amanatullah Khan,OKHLA,19,12th Pass,18415626,0
Delhi,2025,delhi2025,Joginder Solanki,PALAM,0,Graduate,154248976,0
Delhi,2025,delhi2025,Avadh Ojha,PATPARGANJ,0,Graduate Professional,85907918,10170534
Delhi,2025,delhi2025,Pramila Tokas,R K PURAM,2,12th Pass,732195667,61603662
Delhi,2025,delhi2025,Durgesh Pathak,RAJINDER NAGAR,4,Post Graduate,1947576,0
Delhi,2025,delhi2025,A Dhanwati Chandela A,RAJOURI GARDEN,0,10th Pass,1099005522,53100000
Delhi,2025,delhi2025,Pardeep Mittal,ROHINI,3,12th Pass,4392451,0
Delhi,2025,delhi2025,Sarita Singh,ROHTAS NAGAR,1,Post Graduate,795524,288000
Delhi,2025,delhi2025,Som Dutt,SADAR BAZAR,1,Graduate,2120795,0
Delhi,2025,delhi2025,Dinesh Mohaniya,SANGAM VIHAR,4,Graduate Professional,7700166,795236
Delhi,2025,delhi2025,Chaudhary Zubair Ahmad,SEELAM PUR,0,Graduate,36925933,0
Delhi,2025,delhi2025,Veer Singh Dhingan,SEEMA PURI,0,10th Pass,5837000,119374
Delhi,2025,delhi2025,Jitender Singh Shunty,SHAHDARA,0,10th Pass,76092538,5046000
Delhi,2025,delhi2025,Satyendar Jain,SHAKUR BASTI,14,Graduate Professional,88326139,133279353
Delhi,2025,delhi2025,Bandana Kumari,SHALIMAR BAGH,1,Graduate,115429658,1052244
Delhi,2025,delhi2025,Mukesh Kumar Ahlawat,SULTAN PUR MAJRA,4,12th Pass,110982888,378792
